rep	case	h2	env	nc	nc_Tm	POP	LAT	LONG
T1	C1	cell-0	env-0.0	0.577891899999999	0.2322551	1	0	1
T1	C1	cell-0	env-0.0	-0.5123806	-0.8758056	1	0	1
T1	C1	cell-0	env-0.0	1.2089317	1.152963	1	0	1
T1	C1	cell-0	env-0.0	-0.7683417	-0.8313214	1	0	1
T1	C1	cell-0	env-0.0	-0.4280443	-0.6294014	1	0	1
T1	C1	cell-0	env-0.0	1.3642445	1.3089161	1	0	1
T1	C1	cell-0	env-0.0	0.392059	0.5278301	1	0	1
T1	C1	cell-0	env-0.0	-1.0947769	-1.7185214	1	0	1
T1	C1	cell-0	env-0.0	-0.0564730000000002	-0.6678235	2	0	2
T1	C1	cell-0	env-0.0	2.6468023	2.6130396	2	0	2
T1	C1	cell-0	env-0.0	1.9231501	1.5843082	2	0	2
T1	C1	cell-0	env-0.0	0.8242691	0.9028491	2	0	2
T1	C1	cell-0	env-0.0	0.7786888	0.8678336	2	0	2
T1	C1	cell-0	env-0.0	2.4759198	2.5204691	2	0	2
T1	C1	cell-0	env-0.0	0.5096316	0.3130774	2	0	2
T1	C1	cell-0	env-0.0	-1.7206203	-1.8258603	2	0	2
T1	C1	cell-0	env-0.0	-0.425490900000001	-0.2010079	2	0	2
T1	C1	cell-0	env-0.0	0.478284	0.5544569	2	0	2
T1	C1	cell-0	env-0.0	0.7249633	0.4147269	2	0	2
T1	C1	cell-0	env-0.0	-1.0606503	-1.320878	2	0	2
T1	C1	cell-0	env-0.0	-0.2335534	-0.5410721	2	0	2
T1	C1	cell-0	env-0.0	0.6955912	0.3993456	2	0	2
T1	C1	cell-0	env-0.0	0.2471743	0.1106645	2	0	2
T1	C1	cell-0	env-0.0	0.8276835	0.7810985	2	0	2
T1	C1	cell-0	env-0.0	0.1087011	-0.1922105	2	0	2
T1	C1	cell-0	env-0.0	-0.1085692	-0.2273209	2	0	2
T1	C1	cell-0	env-0.0	0.92417	0.3075331	2	0	2
T1	C1	cell-0	env-0.0	-0.9167437	-1.0957922	2	0	2
T1	C1	cell-0	env-0.0	1.4199334	1.1015524	3	0	3
T1	C1	cell-0	env-0.0	2.3497377	2.1474674	3	0	3
T1	C1	cell-0	env-0.0	0.3503849	-0.105606	3	0	3
T1	C1	cell-0	env-0.0	-0.130236900000001	-0.2945418	3	0	3
T1	C1	cell-0	env-0.0	-1.705211	-1.4779042	3	0	3
T1	C1	cell-0	env-0.0	0.5803926	0.0767334	3	0	3
T1	C1	cell-0	env-0.0	-0.3742971	-0.4252754	3	0	3
T1	C1	cell-0	env-0.0	-0.109856	-0.3065142	3	0	3
T1	C1	cell-0	env-0.0	-0.1500598	-0.6581416	3	0	3
T1	C1	cell-0	env-0.0	-0.2657559	-0.3733255	3	0	3
T1	C1	cell-0	env-0.0	-0.7376257	-0.9667053	3	0	3
T1	C1	cell-0	env-0.0	0.0260471999999999	-0.1765573	3	0	3
T1	C1	cell-0	env-0.0	-0.5037177	-0.7308477	3	0	3
T1	C1	cell-0	env-0.0	-0.7409805	-0.7388778	3	0	3
T1	C1	cell-0	env-0.0	-1.3198841	-1.6339796	3	0	3
T1	C1	cell-0	env-0.0	1.1914051	1.1461607	3	0	3
T1	C1	cell-0	env-0.0	-0.1655536	-0.3182696	3	0	3
T1	C1	cell-0	env-0.0	0.2664619	-0.1746229	3	0	3
T1	C1	cell-0	env-0.0	2.5127983	1.9221262	3	0	3
T1	C1	cell-0	env-0.0	1.0371254	0.6911312	3	0	3
T1	C1	cell-0	env-0.0	-1.6106306	-1.6276602	4	0	4
T1	C1	cell-0	env-0.0	0.505676700000001	-0.1190089	4	0	4
T1	C1	cell-0	env-0.0	-0.7855531	-0.83994	4	0	4
T1	C1	cell-0	env-0.0	0.190738	0.1389803	4	0	4
T1	C1	cell-0	env-0.0	-0.6751879	-1.1809904	4	0	4
T1	C1	cell-0	env-0.0	-0.6008799	-1.0578962	4	0	4
T1	C1	cell-0	env-0.0	-0.200979700000001	-0.4067759	4	0	4
T1	C1	cell-0	env-0.0	0.3291741	0.0247929000000001	4	0	4
T1	C1	cell-0	env-0.0	0.2482959	0.5005843	4	0	4
T1	C1	cell-0	env-0.0	-1.6520016	-1.8561124	4	0	4
T1	C1	cell-0	env-0.0	2.3514964	1.9901922	4	0	4
T1	C1	cell-0	env-0.0	1.9453968	1.7559153	4	0	4
T1	C1	cell-0	env-0.0	1.5945257	1.8092362	4	0	4
T1	C1	cell-0	env-0.0	1.0825542	0.8773072	4	0	4
T1	C1	cell-0	env-0.0	2.5170661	2.3645474	4	0	4
T1	C1	cell-0	env-0.0	-0.8599445	-0.9168486	4	0	4
T1	C1	cell-0	env-0.0	0.1353996	0.0807824000000002	4	0	4
T1	C1	cell-0	env-0.0	-0.6238638	-0.8417303	4	0	4
T1	C1	cell-0	env-0.0	-0.4318795	-0.7388443	4	0	4
T1	C1	cell-0	env-0.0	-0.9565092	-0.7352929	4	0	4
T1	C1	cell-0	env-0.0	1.5466614	1.3931666	5	0	5
T1	C1	cell-0	env-0.0	-0.1568564	-0.2151809	5	0	5
T1	C1	cell-0	env-0.0	0.4644489	0.0356730000000004	5	0	5
T1	C1	cell-0	env-0.0	1.0801433	0.5919311	5	0	5
T1	C1	cell-0	env-0.0	0.6507091	0.3184546	5	0	5
T1	C1	cell-0	env-0.0	1.457932	1.0910394	5	0	5
T1	C1	cell-0	env-0.0	-0.710921800000001	-0.7601828	5	0	5
T1	C1	cell-0	env-0.0	3.175096	2.8883229	5	0	5
T1	C1	cell-0	env-0.0	0.8046037	0.3644179	5	0	5
T1	C1	cell-0	env-0.0	2.5301705	2.632207	5	0	5
T1	C1	cell-0	env-0.0	1.7372349	1.4690545	5	0	5
T1	C1	cell-0	env-0.0	1.6314362	1.8701165	5	0	5
T1	C1	cell-0	env-0.0	-0.4349018	-0.3830175	5	0	5
T1	C1	cell-0	env-0.0	-0.375798699999999	-0.2800268	5	0	5
T1	C1	cell-0	env-0.0	0.6381597	0.4426469	5	0	5
T1	C1	cell-0	env-0.0	1.635638	1.4298719	5	0	5
T1	C1	cell-0	env-0.0	-0.9265971	-1.5614979	5	0	5
T1	C1	cell-0	env-0.0	1.3595158	1.4513167	5	0	5
T1	C1	cell-0	env-0.0	0.633915599999999	0.5715049	5	0	5
T1	C1	cell-0	env-0.0	2.0440192	1.8994107	5	0	5
T1	C1	cell-0	env-0.0	0.358831299999999	0.412469100000001	6	1	0
T1	C1	cell-0	env-0.0	0.7189033	0.860755599999999	6	1	0
T1	C1	cell-0	env-0.0	0.0935193999999999	0.0324231000000001	6	1	0
T1	C1	cell-0	env-0.0	1.2599001	1.0658384	6	1	0
T1	C1	cell-0	env-0.0	-1.3046646	-1.3660367	6	1	0
T1	C1	cell-0	env-0.0	-0.200195	-0.00215739999999981	6	1	0
T1	C1	cell-0	env-0.0	1.1448456	0.8389523	6	1	0
T1	C1	cell-0	env-0.0	1.0257545	1.1146541	6	1	0
T1	C1	cell-0	env-0.0	-0.1090364	-0.175478	6	1	0
T1	C1	cell-0	env-0.0	-1.0072263	-0.831889	6	1	0
T1	C1	cell-0	env-0.0	1.003483	0.823294	6	1	0
T1	C1	cell-0	env-0.0	0.3889665	0.1815036	6	1	0
T1	C1	cell-0	env-0.0	-0.7645004	-0.6437707	6	1	0
T1	C1	cell-0	env-0.0	0.0510012	-0.3031001	6	1	0
T1	C1	cell-0	env-0.0	-1.8506749	-1.6306522	6	1	0
T1	C1	cell-0	env-0.0	0.9846192	0.5380478	6	1	0
T1	C1	cell-0	env-0.0	0.2063155	-0.1695275	6	1	0
T1	C1	cell-0	env-0.0	-0.7485451	-1.0816416	6	1	0
T1	C1	cell-0	env-0.0	0.1714248	-0.0917168999999999	6	1	0
T1	C1	cell-0	env-0.0	-0.5930132	-0.8059009	6	1	0
T1	C1	cell-0	env-0.0	1.4999057	1.0615262	7	1	1
T1	C1	cell-0	env-0.0	0.0942078000000001	0.2121328	7	1	1
T1	C1	cell-0	env-0.0	-1.0489662	-1.2612055	7	1	1
T1	C1	cell-0	env-0.0	1.3153701	1.1026313	7	1	1
T1	C1	cell-0	env-0.0	-1.5932067	-1.7518819	7	1	1
T1	C1	cell-0	env-0.0	-0.0750760000000002	-0.1324523	7	1	1
T1	C1	cell-0	env-0.0	-1.0814562	-1.444326	7	1	1
T1	C1	cell-0	env-0.0	1.1147847	1.3003315	7	1	1
T1	C1	cell-0	env-0.0	0.7163658	0.7751698	7	1	1
T1	C1	cell-0	env-0.0	0.602420100000001	0.3892198	7	1	1
T1	C1	cell-0	env-0.0	0.6905826	0.6371691	7	1	1
T1	C1	cell-0	env-0.0	-0.3593799	-0.6649192	7	1	1
T1	C1	cell-0	env-0.0	0.959021899999999	0.597265499999999	7	1	1
T1	C1	cell-0	env-0.0	0.8040132	0.7034951	7	1	1
T1	C1	cell-0	env-0.0	-0.1795213	-0.5101782	7	1	1
T1	C1	cell-0	env-0.0	-0.232333	-0.5231518	7	1	1
T1	C1	cell-0	env-0.0	0.0138463999999998	-0.346092	7	1	1
T1	C1	cell-0	env-0.0	-0.4096222	-1.0130862	7	1	1
T1	C1	cell-0	env-0.0	1.1733374	0.7007591	7	1	1
T1	C1	cell-0	env-0.0	-0.7529776	-1.0560475	7	1	1
T1	C1	cell-0	env-0.0	-0.1549391	-0.0837008999999998	8	1	2
T1	C1	cell-0	env-0.0	1.1904481	1.0951813	8	1	2
T1	C1	cell-0	env-0.0	-1.8581199	-1.8604062	8	1	2
T1	C1	cell-0	env-0.0	0.3219778	0.119161	8	1	2
T1	C1	cell-0	env-0.0	-1.4848108	-1.8319672	8	1	2
T1	C1	cell-0	env-0.0	0.4720006	0.272602	8	1	2
T1	C1	cell-0	env-0.0	1.0358292	0.835279899999999	8	1	2
T1	C1	cell-0	env-0.0	0.1649688	-0.0360946000000001	8	1	2
T1	C1	cell-0	env-0.0	-1.2690963	-1.3833207	8	1	2
T1	C1	cell-0	env-0.0	-0.1895684	-0.2389062	8	1	2
T1	C1	cell-0	env-0.0	0.97296	1.4168425	8	1	2
T1	C1	cell-0	env-0.0	0.1542803	0.1385321	8	1	2
T1	C1	cell-0	env-0.0	0.5017493	-0.0103003000000002	8	1	2
T1	C1	cell-0	env-0.0	-0.2778832	-0.9797458	8	1	2
T1	C1	cell-0	env-0.0	-0.2042745	0.1573619	8	1	2
T1	C1	cell-0	env-0.0	1.7992459	1.5099237	8	1	2
T1	C1	cell-0	env-0.0	-0.3350265	-0.241234	8	1	2
T1	C1	cell-0	env-0.0	-0.524637	-0.6207866	8	1	2
T1	C1	cell-0	env-0.0	-0.5814521	-0.90576	8	1	2
T1	C1	cell-0	env-0.0	0.438269	0.2377413	8	1	2
T1	C1	cell-0	env-0.0	-1.5516373	-1.7803438	9	1	3
T1	C1	cell-0	env-0.0	-1.8440091	-1.9080439	9	1	3
T1	C1	cell-0	env-0.0	-0.4915346	-0.5614678	9	1	3
T1	C1	cell-0	env-0.0	0.0783551999999997	-0.1734827	9	1	3
T1	C1	cell-0	env-0.0	1.2445575	0.9074251	9	1	3
T1	C1	cell-0	env-0.0	0.4967032	0.1866193	9	1	3
T1	C1	cell-0	env-0.0	0.1805741	0.0908147000000004	9	1	3
T1	C1	cell-0	env-0.0	-0.4083641	-1.0132779	9	1	3
T1	C1	cell-0	env-0.0	-1.0966479	-1.2775627	9	1	3
T1	C1	cell-0	env-0.0	-0.1963149	-0.2686785	9	1	3
T1	C1	cell-0	env-0.0	2.7570025	2.4591286	9	1	3
T1	C1	cell-0	env-0.0	-0.6746669	-1.1839074	9	1	3
T1	C1	cell-0	env-0.0	-0.4307566	-0.7205154	9	1	3
T1	C1	cell-0	env-0.0	0.2975594	0.2323343	9	1	3
T1	C1	cell-0	env-0.0	-2.4407286	-2.7456516	9	1	3
T1	C1	cell-0	env-0.0	0.0132548	0.1058312	9	1	3
T1	C1	cell-0	env-0.0	-1.7561312	-1.9637018	9	1	3
T1	C1	cell-0	env-0.0	-0.2324911	-0.5941664	9	1	3
T1	C1	cell-0	env-0.0	-0.2989701	-0.3562203	9	1	3
T1	C1	cell-0	env-0.0	1.4426819	1.3560078	9	1	3
T1	C1	cell-0	env-0.0	-0.2385405	-0.403491	10	1	4
T1	C1	cell-0	env-0.0	1.0479403	0.6888736	10	1	4
T1	C1	cell-0	env-0.0	0.7278347	0.0230537999999999	10	1	4
T1	C1	cell-0	env-0.0	0.8557325	0.549715	10	1	4
T1	C1	cell-0	env-0.0	0.7623772	0.4598142	10	1	4
T1	C1	cell-0	env-0.0	0.4171274	0.5052293	10	1	4
T1	C1	cell-0	env-0.0	1.6967835	1.4977994	10	1	4
T1	C1	cell-0	env-0.0	0.0802158999999997	-0.2644151	10	1	4
T1	C1	cell-0	env-0.0	1.6990462	1.4479536	10	1	4
T1	C1	cell-0	env-0.0	-0.9876242	-1.0604661	10	1	4
T1	C1	cell-0	env-0.0	-0.5084057	-0.3160397	10	1	4
T1	C1	cell-0	env-0.0	0.1827058	-0.2863872	10	1	4
T1	C1	cell-0	env-0.0	2.488595	2.6784011	10	1	4
T1	C1	cell-0	env-0.0	-0.00770360000000053	-0.1995254	10	1	4
T1	C1	cell-0	env-0.0	-1.2450605	-1.4055957	10	1	4
T1	C1	cell-0	env-0.0	-0.5750297	-0.630552	10	1	4
T1	C1	cell-0	env-0.0	0.1727546	0.0721826	10	1	4
T1	C1	cell-0	env-0.0	-0.0296913000000003	-0.0406434999999998	10	1	4
T1	C1	cell-0	env-0.0	-0.5218021	-0.4170391	10	1	4
T1	C1	cell-0	env-0.0	1.3975206	1.3032365	10	1	4
T1	C1	cell-0	env-0.0	-0.6384109	-0.8429963	11	1	5
T1	C1	cell-0	env-0.0	1.7084238	1.3979391	11	1	5
T1	C1	cell-0	env-0.0	0.2335036	-0.014363	11	1	5
T1	C1	cell-0	env-0.0	1.4094582	1.4615037	11	1	5
T1	C1	cell-0	env-0.0	1.6414619	1.3564754	11	1	5
T1	C1	cell-0	env-0.0	-0.6291693	-0.7997983	11	1	5
T1	C1	cell-0	env-0.0	0.0033696999999997	-0.5580555	11	1	5
T1	C1	cell-0	env-0.0	1.4310449	1.2821671	11	1	5
T1	C1	cell-0	env-0.0	-1.6175563	-1.9744029	11	1	5
T1	C1	cell-0	env-0.0	1.4916205	0.987354500000001	11	1	5
T1	C1	cell-0	env-0.0	-0.4720061	-0.6793481	11	1	5
T1	C1	cell-0	env-0.0	1.0764888	1.0021079	11	1	5
T1	C1	cell-0	env-0.0	-0.8541026	-1.2849797	11	1	5
T1	C1	cell-0	env-0.0	0.546778499999999	0.1998419	11	1	5
T1	C1	cell-0	env-0.0	2.0899304	2.1451174	11	1	5
T1	C1	cell-0	env-0.0	-0.2820873	-0.7587645	11	1	5
T1	C1	cell-0	env-0.0	-0.2130609	-0.2137494	11	1	5
T1	C1	cell-0	env-0.0	2.5195216	2.2853519	11	1	5
T1	C1	cell-0	env-0.0	0.1163785	-0.3489772	11	1	5
T1	C1	cell-0	env-0.0	0.6945696	0.64713	11	1	5
T1	C1	cell-0	env-0.0	0.357268499999999	0.2235849	12	2	0
T1	C1	cell-0	env-0.0	-0.0578167	-0.0176229	12	2	0
T1	C1	cell-0	env-0.0	1.3827405	0.9286388	12	2	0
T1	C1	cell-0	env-0.0	1.1226344	0.9288532	12	2	0
T1	C1	cell-0	env-0.0	1.3530376	1.2830234	12	2	0
T1	C1	cell-0	env-0.0	-1.1658395	-1.4920207	12	2	0
T1	C1	cell-0	env-0.0	-0.4779875	-0.6339282	12	2	0
T1	C1	cell-0	env-0.0	-0.9809298	-0.8269749	12	2	0
T1	C1	cell-0	env-0.0	0.00134129999999952	-0.230593	12	2	0
T1	C1	cell-0	env-0.0	1.2039431	0.911384	12	2	0
T1	C1	cell-0	env-0.0	-0.7310303	-0.8070921	12	2	0
T1	C1	cell-0	env-0.0	1.5156608	1.3564835	12	2	0
T1	C1	cell-0	env-0.0	0.506831	0.5936392	12	2	0
T1	C1	cell-0	env-0.0	0.0676559999999999	0.00914020000000028	12	2	0
T1	C1	cell-0	env-0.0	1.1796601	1.2283671	12	2	0
T1	C1	cell-0	env-0.0	0.3233712	0.2211342	12	2	0
T1	C1	cell-0	env-0.0	-0.3982044	-0.6023312	12	2	0
T1	C1	cell-0	env-0.0	0.9058483	1.1009338	12	2	0
T1	C1	cell-0	env-0.0	-0.7570384	-0.9575344	12	2	0
T1	C1	cell-0	env-0.0	1.9119456	1.8796622	12	2	0
T1	C1	cell-0	env-0.0	-0.1370533	-0.213823	13	2	1
T1	C1	cell-0	env-0.0	-2.1651401	-2.3876115	13	2	1
T1	C1	cell-0	env-0.0	0.8920187	0.4409189	13	2	1
T1	C1	cell-0	env-0.0	-0.7090771	-0.8566472	13	2	1
T1	C1	cell-0	env-0.0	0.3145268	0.0150625	13	2	1
T1	C1	cell-0	env-0.0	-1.6366897	-1.6840562	13	2	1
T1	C1	cell-0	env-0.0	0.995471	0.6929833	13	2	1
T1	C1	cell-0	env-0.0	0.5720387	0.4133996	13	2	1
T1	C1	cell-0	env-0.0	1.0361389	0.8968719	13	2	1
T1	C1	cell-0	env-0.0	0.6525794	0.5935613	13	2	1
T1	C1	cell-0	env-0.0	-0.9255673	-1.1322368	13	2	1
T1	C1	cell-0	env-0.0	-0.9617442	-1.1860231	13	2	1
T1	C1	cell-0	env-0.0	0.994396199999999	1.1256184	13	2	1
T1	C1	cell-0	env-0.0	0.1336588	-0.2300275	13	2	1
T1	C1	cell-0	env-0.0	-1.0829731	-1.6940069	13	2	1
T1	C1	cell-0	env-0.0	-0.3577956	-0.4803321	13	2	1
T1	C1	cell-0	env-0.0	0.0650204	-0.2038006	13	2	1
T1	C1	cell-0	env-0.0	-1.2033424	-1.4226477	13	2	1
T1	C1	cell-0	env-0.0	-0.2224554	-0.4939167	13	2	1
T1	C1	cell-0	env-0.0	0.2610126	0.3422574	13	2	1
T1	C1	cell-0	env-0.0	0.7604556	0.3044115	14	2	2
T1	C1	cell-0	env-0.0	0.6226939	0.1769678	14	2	2
T1	C1	cell-0	env-0.0	0.8606383	0.8233021	14	2	2
T1	C1	cell-0	env-0.0	1.8028971	1.768514	14	2	2
T1	C1	cell-0	env-0.0	-0.376261	-0.5449976	14	2	2
T1	C1	cell-0	env-0.0	0.898505	0.8103304	14	2	2
T1	C1	cell-0	env-0.0	1.0768377	1.2662768	14	2	2
T1	C1	cell-0	env-0.0	1.0949924	0.5192374	14	2	2
T1	C1	cell-0	env-0.0	0.3883345	0.579645	14	2	2
T1	C1	cell-0	env-0.0	-0.2772509	-0.5440425	14	2	2
T1	C1	cell-0	env-0.0	0.0401734999999998	-0.1689575	14	2	2
T1	C1	cell-0	env-0.0	0.7321629	0.4278989	14	2	2
T1	C1	cell-0	env-0.0	-1.8406979	-1.8906615	14	2	2
T1	C1	cell-0	env-0.0	-0.2932364	-0.1072464	14	2	2
T1	C1	cell-0	env-0.0	-0.643074300000001	-0.7239279	14	2	2
T1	C1	cell-0	env-0.0	0.3254744	0.417891399999999	14	2	2
T1	C1	cell-0	env-0.0	0.0972531999999998	-0.0926405999999998	14	2	2
T1	C1	cell-0	env-0.0	-0.5669757	-1.0232368	14	2	2
T1	C1	cell-0	env-0.0	1.4968031	1.2171947	14	2	2
T1	C1	cell-0	env-0.0	0.1960004	-0.2905889	14	2	2
T1	C1	cell-0	env-0.0	0.8898497	0.550201	15	2	3
T1	C1	cell-0	env-0.0	2.7104902	2.4269713	15	2	3
T1	C1	cell-0	env-0.0	0.7250937	0.3846996	15	2	3
T1	C1	cell-0	env-0.0	-0.2640996	-0.565671	15	2	3
T1	C1	cell-0	env-0.0	-0.8269996	-0.8973966	15	2	3
T1	C1	cell-0	env-0.0	-1.1357637	-1.5999008	15	2	3
T1	C1	cell-0	env-0.0	-0.0922674000000002	-0.3183169	15	2	3
T1	C1	cell-0	env-0.0	-0.260182	-0.5676721	15	2	3
T1	C1	cell-0	env-0.0	0.6685969	0.5821521	15	2	3
T1	C1	cell-0	env-0.0	0.389308799999999	-0.2291735	15	2	3
T1	C1	cell-0	env-0.0	1.3698167	0.927841099999999	15	2	3
T1	C1	cell-0	env-0.0	0.0188135999999993	-0.3358443	15	2	3
T1	C1	cell-0	env-0.0	0.6234047	0.0691518999999999	15	2	3
T1	C1	cell-0	env-0.0	0.152699599999999	-0.0960261000000001	15	2	3
T1	C1	cell-0	env-0.0	-0.3873168	-0.6025194	15	2	3
T1	C1	cell-0	env-0.0	-0.464837800000001	-0.5224855	15	2	3
T1	C1	cell-0	env-0.0	0.2050696	0.0510785000000002	15	2	3
T1	C1	cell-0	env-0.0	-1.848303	-2.2050056	15	2	3
T1	C1	cell-0	env-0.0	1.9774055	2.2085928	15	2	3
T1	C1	cell-0	env-0.0	0.2397221	-0.0540505999999998	15	2	3
T1	C1	cell-0	env-0.0	0.5140487	0.4028634	16	2	4
T1	C1	cell-0	env-0.0	-0.7677596	-0.8067285	16	2	4
T1	C1	cell-0	env-0.0	0.4729091	0.1588311	16	2	4
T1	C1	cell-0	env-0.0	-0.4990861	-0.6691728	16	2	4
T1	C1	cell-0	env-0.0	1.0577859	1.3033561	16	2	4
T1	C1	cell-0	env-0.0	-0.3656757	-0.8279605	16	2	4
T1	C1	cell-0	env-0.0	1.337228	1.4255031	16	2	4
T1	C1	cell-0	env-0.0	0.960166	1.0456729	16	2	4
T1	C1	cell-0	env-0.0	0.105286	-0.3153656	16	2	4
T1	C1	cell-0	env-0.0	-0.0819816000000003	-0.5421695	16	2	4
T1	C1	cell-0	env-0.0	0.220489399999999	-0.0122426999999997	16	2	4
T1	C1	cell-0	env-0.0	-0.0163455000000002	-0.1761671	16	2	4
T1	C1	cell-0	env-0.0	-0.0156024000000002	-0.476532	16	2	4
T1	C1	cell-0	env-0.0	-1.2637172	-1.3882078	16	2	4
T1	C1	cell-0	env-0.0	-0.4913255	-0.5430166	16	2	4
T1	C1	cell-0	env-0.0	1.3252733	1.4040874	16	2	4
T1	C1	cell-0	env-0.0	-1.7343486	-1.651917	16	2	4
T1	C1	cell-0	env-0.0	1.1322471	0.9364347	16	2	4
T1	C1	cell-0	env-0.0	0.9661923	0.8806005	16	2	4
T1	C1	cell-0	env-0.0	-0.5613519	-0.5116334	16	2	4
T1	C1	cell-0	env-0.0	-0.1721761	-0.0389208999999998	17	2	5
T1	C1	cell-0	env-0.0	0.6867579	0.6205785	17	2	5
T1	C1	cell-0	env-0.0	-0.4016969	-0.5922968	17	2	5
T1	C1	cell-0	env-0.0	0.5429183	0.381754	17	2	5
T1	C1	cell-0	env-0.0	1.301772	1.4032925	17	2	5
T1	C1	cell-0	env-0.0	0.3191945	0.1668336	17	2	5
T1	C1	cell-0	env-0.0	1.713121	1.3136202	17	2	5
T1	C1	cell-0	env-0.0	0.0858457999999999	-0.3146687	17	2	5
T1	C1	cell-0	env-0.0	1.8084281	1.5600106	17	2	5
T1	C1	cell-0	env-0.0	0.9985997	0.7417631	17	2	5
T1	C1	cell-0	env-0.0	0.44889	0.2562515	17	2	5
T1	C1	cell-0	env-0.0	1.0172466	0.577026	17	2	5
T1	C1	cell-0	env-0.0	1.4535336	1.2338124	17	2	5
T1	C1	cell-0	env-0.0	1.1261535	0.673405799999999	17	2	5
T1	C1	cell-0	env-0.0	2.5292133	2.3195065	17	2	5
T1	C1	cell-0	env-0.0	0.890406	0.8368405	17	2	5
T1	C1	cell-0	env-0.0	1.7530659	1.91711	17	2	5
T1	C1	cell-0	env-0.0	-0.0969988000000002	-0.0678613999999996	17	2	5
T1	C1	cell-0	env-0.0	-0.322354	-0.5764936	17	2	5
T1	C1	cell-0	env-0.0	0.1551053	0.2988949	17	2	5
T1	C1	cell-0	env-0.0	-1.2338879	-1.5954675	18	3	0
T1	C1	cell-0	env-0.0	-0.8947869	-1.1089374	18	3	0
T1	C1	cell-0	env-0.0	1.0693603	0.9064524	18	3	0
T1	C1	cell-0	env-0.0	1.7799821	1.7868291	18	3	0
T1	C1	cell-0	env-0.0	-0.3879534	-0.6057421	18	3	0
T1	C1	cell-0	env-0.0	0.1906828	0.1018167	18	3	0
T1	C1	cell-0	env-0.0	2.6356029	2.4351737	18	3	0
T1	C1	cell-0	env-0.0	1.105884	1.1563896	18	3	0
T1	C1	cell-0	env-0.0	-1.3194179	-1.2347491	18	3	0
T1	C1	cell-0	env-0.0	-1.9697488	-2.03476	18	3	0
T1	C1	cell-0	env-0.0	-0.1439605	-0.3060797	18	3	0
T1	C1	cell-0	env-0.0	-1.1334825	-1.2031326	18	3	0
T1	C1	cell-0	env-0.0	0.0543779000000002	0.00165050000000017	18	3	0
T1	C1	cell-0	env-0.0	-0.102324	-0.0193796999999999	18	3	0
T1	C1	cell-0	env-0.0	0.6287632	0.5561638	18	3	0
T1	C1	cell-0	env-0.0	0.3575078	0.0484354000000002	18	3	0
T1	C1	cell-0	env-0.0	0.4166815	0.0585087000000002	18	3	0
T1	C1	cell-0	env-0.0	0.729407500000001	0.6704447	18	3	0
T1	C1	cell-0	env-0.0	0.594102	0.3835052	18	3	0
T1	C1	cell-0	env-0.0	-1.928442	-2.2514384	18	3	0
T1	C1	cell-0	env-0.0	1.1636771	1.0959522	19	3	1
T1	C1	cell-0	env-0.0	0.1352406	-0.0598342999999996	19	3	1
T1	C1	cell-0	env-0.0	-0.142393	0.0243536	19	3	1
