#FID,IID,phenos
tsk_234,tsk_234,0.979736122748383
tsk_235,tsk_235,0.370166565152077
tsk_236,tsk_236,0.173316490963724
tsk_237,tsk_237,-0.27359146237411
tsk_238,tsk_238,0.0452516408879356
tsk_239,tsk_239,1.57080591663704
tsk_240,tsk_240,-0.698356165520968
tsk_241,tsk_241,-0.427262850511541
tsk_242,tsk_242,0.0829862213428046
tsk_243,tsk_243,1.45436314865145
tsk_244,tsk_244,1.26536577240605
tsk_245,tsk_245,-0.36081041473379
tsk_246,tsk_246,-0.976689301163215
tsk_247,tsk_247,-0.389943015086043
tsk_248,tsk_248,0.417900449134314
tsk_249,tsk_249,0.0968285701287926
tsk_250,tsk_250,0.233967924072439
tsk_251,tsk_251,-0.00351770072201013
tsk_252,tsk_252,-2.09142647529495
tsk_253,tsk_253,0.10920077936295
tsk_254,tsk_254,-1.11442171291962
tsk_255,tsk_255,-0.111461929165567
tsk_256,tsk_256,-0.144259363032463
tsk_257,tsk_257,-1.00557108089353
tsk_258,tsk_258,0.598584534248841
tsk_259,tsk_259,0.0430172676652715
tsk_260,tsk_260,0.36142884930606
tsk_261,tsk_261,0.136305010879626
tsk_262,tsk_262,-1.76157831064414
tsk_263,tsk_263,0.623160393481635
tsk_264,tsk_264,-0.249086105912053
tsk_265,tsk_265,0.0931224009771595
tsk_266,tsk_266,0.0229701006152017
tsk_267,tsk_267,-1.18183301131458
tsk_268,tsk_268,0.0707233308377357
tsk_269,tsk_269,0.569585288779423
tsk_270,tsk_270,1.67609338169385
tsk_271,tsk_271,0.803025073041283
tsk_272,tsk_272,-0.856122948404012
tsk_273,tsk_273,0.0453635023797299
tsk_274,tsk_274,-0.226852968074299
tsk_275,tsk_275,-1.33206292996009
tsk_276,tsk_276,-0.0173196901466866
tsk_277,tsk_277,0.0161845337714091
tsk_278,tsk_278,0.627625693819517
tsk_279,tsk_279,0.158473756195379
tsk_280,tsk_280,1.49297969508256
tsk_281,tsk_281,1.63485805183719
tsk_282,tsk_282,-1.2592600440334
tsk_283,tsk_283,-0.249292702609157
tsk_284,tsk_284,0.959137842882015
tsk_285,tsk_285,0.54131207879225
tsk_286,tsk_286,1.13078809771719
tsk_287,tsk_287,-0.452480624581191
tsk_288,tsk_288,-1.04774422261546
tsk_289,tsk_289,-1.17223986826489
tsk_290,tsk_290,-0.81426525791531
tsk_291,tsk_291,-0.314161440591459
tsk_292,tsk_292,0.548227982452679
tsk_293,tsk_293,-0.586085624242976
tsk_294,tsk_294,-1.7803353620847
tsk_295,tsk_295,1.65703022724297
tsk_296,tsk_296,-0.377482952371349
tsk_297,tsk_297,0.814569030497909
tsk_298,tsk_298,0.743474417593869
tsk_299,tsk_299,-0.0965432288806874
